Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,Year,Month,Day,Collection Site,Commodity Code,Analyzing Lab Code
ND0506205001WUCO1,WU,305,Atrazine,R,44,5,T,M ,,,H ,O,901,7,,ND,5,6,20,50,1,WU,CO1
ND0506205001WUCO1,WU,964,Desethyl atrazine,R,42,25,T,M ,,Q ,H ,O,901,7,,ND,5,6,20,50,1,WU,CO1
ND0506205001WUCO1,WU,AEB,Dimethenamid/Dimethenamid P,F,75,45,T,I ,,Q ,HU,O,903,64,,ND,5,6,20,50,1,WU,CO1
ND0507115001WUCO1,WU,964,Desethyl atrazine,R,42,25,T,M ,,Q ,H ,O,901,7,,ND,5,7,11,50,1,WU,CO1
ND0507115001WUCO1,WU,ABN,Acetochlor ethanesulfonic acid (ESA),A,218,45,T,I ,,,H ,O,903,64,,ND,5,7,11,50,1,WU,CO1
ND0509125001WUCO1,WU,305,Atrazine,R,54,5,T,M ,,,H ,O,901,7,,ND,5,9,12,50,1,WU,CO1
ND0510035001WUCO1,WU,305,Atrazine,R,41,5,T,I ,,,H ,O,901,7,,ND,5,10,3,50,1,WU,CO1
ND0504185001WUCO1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,75,45,T,I ,,Q ,H ,O,903,64,,ND,5,4,18,50,1,WU,CO1
ND0505095001WUCO1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,75,45,T,I ,,Q ,H ,O,903,64,,ND,5,5,9,50,1,WU,CO1
ND0505165001WUCO1,WU,305,Atrazine,R,37,5,T,M ,,,H ,O,901,7,,ND,5,5,16,50,1,WU,CO1
ND0505235001WUCO1,WU,807,Acetochlor,A,669,45,T,I ,,,H ,O,903,64,,ND,5,5,23,50,1,WU,CO1
ND0506135001WUCO1,WU,305,Atrazine,R,19,5,T,M ,,,H ,O,901,7,,ND,5,6,13,50,1,WU,CO1
ND0506205001WUCO1,WU,729,Bromoxynil,G,65,39,T,I ,,Q ,HU,O,902,62,,ND,5,6,20,50,1,WU,CO1
ND0506275001WUCO1,WU,305,Atrazine,R,34,5,T,M ,,,H ,O,901,7,,ND,5,6,27,50,1,WU,CO1
ND0507115001WUCO1,WU,305,Atrazine,R,87,5,T,M ,,,H ,O,901,7,,ND,5,7,11,50,1,WU,CO1
ND0508085001WUCO1,WU,305,Atrazine,R,26,5,T,M ,,,H ,O,901,7,,ND,5,8,8,50,1,WU,CO1
ND0508225001WUCO1,WU,305,Atrazine,R,59,5,T,M ,,,H ,O,901,7,,ND,5,8,22,50,1,WU,CO1
ND0509125001WUCO1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,75,45,T,I ,,Q ,H ,O,903,64,,ND,5,9,12,50,1,WU,CO1
ND0510035001WUCO1,WU,ABO,Acetochlor oxanilic acid (OA),A,75,45,T,I ,,Q ,H ,O,903,64,,ND,5,10,3,50,1,WU,CO1
ND0510315001WUCO1,WU,305,Atrazine,R,35,5,T,M ,,,H ,O,901,7,,ND,5,10,31,50,1,WU,CO1
ND0601095001WRCO1,WR,305,Atrazine,R,21,5,T,M,,,H,O,901,7,,ND,6,1,9,50,1,WR,CO1
ND0601095002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601235002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,3.8,0.61,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0602135002WRMT1,WR,AEE,Imazamethabenz acid,J,3,0.6,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602275002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,23,0.36,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0603135002WRMT1,WR,ACD,Imazethapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0601095002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,3.2,0.61,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,AEE,Imazamethabenz acid,J,3.1,0.6,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,ACD,Imazethapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,ACB,Imazapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,942,Prometon,R,1.2,0.17,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LT,,Q,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,780,Tebuthiuron,F,0.35,0.21,T,LT,,Q,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,305,Atrazine,R,25,0.66,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,AED,Hydroxy atrazine,R,20,1.2,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,19,1.7,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,18,0.68,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,17,0.36,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,14,1.6,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,964,Desethyl atrazine,R,14,0.43,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,B46,Clopyralid,G,11,3.4,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,11,3.2,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,26,"2,4-D",G,11,0.65,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601095002WRMT1,WR,758,Bentazon,F,6.7,0.18,T,LT,,,H,O,811,62,,ND,6,1,9,50,2,WR,MT1
ND0601235002WRMT1,WR,AEE,Imazamethabenz acid,J,3,0.6,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,ACB,Imazapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LT,,Q,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,942,Prometon,R,0.96,0.17,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,305,Atrazine,R,32,0.66,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,25,1.7,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,24,0.36,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,AED,Hydroxy atrazine,R,22,1.2,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,22,0.68,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,20,1.6,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,964,Desethyl atrazine,R,17,0.43,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,26,"2,4-D",G,13,0.65,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,12,3.2,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,758,Bentazon,F,8.2,0.18,T,LT,,,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,B46,Clopyralid,G,5.7,3.4,T,LT,,Q,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0601235002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,1,23,50,2,WR,MT1
ND0602135002WRMT1,WR,ACB,Imazapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,942,Prometon,R,0.89,0.17,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,780,Tebuthiuron,F,0.35,0.21,T,LT,,Q,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,305,Atrazine,R,32,0.66,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,26,0.68,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,AED,Hydroxy atrazine,R,23,1.2,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,22,1.7,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,21,0.36,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,19,1.6,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,964,Desethyl atrazine,R,17,0.43,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,26,"2,4-D",G,14,0.65,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,B46,Clopyralid,G,11,3.4,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,11,3.2,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,758,Bentazon,F,5.3,0.18,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602135002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,4.3,0.61,T,LT,,,H,O,811,62,,ND,6,2,13,50,2,WR,MT1
ND0602275002WRMT1,WR,305,Atrazine,R,23,0.66,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,AED,Hydroxy atrazine,R,15,1.2,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,13,0.68,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,13,1.6,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,964,Desethyl atrazine,R,13,0.43,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,12,3.2,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,26,"2,4-D",G,9.7,0.65,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,758,Bentazon,F,5.9,0.18,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,B46,Clopyralid,G,5.7,3.4,T,LT,,Q,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,4,0.61,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,AEE,Imazamethabenz acid,J,2.2,0.6,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,ACD,Imazethapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,ACB,Imazapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,149,Simazine,R,1.18,0.71,T,LT,,Q,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,942,Prometon,R,0.75,0.17,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0602275002WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,32,1.7,T,LT,,,H,O,811,62,,ND,6,2,27,50,2,WR,MT1
ND0603135002WRMT1,WR,942,Prometon,R,1.3,0.17,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,149,Simazine,R,1.18,0.71,T,LT,,Q,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,305,Atrazine,R,24,0.66,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,17,1.7,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,16,0.36,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,964,Desethyl atrazine,R,15,0.43,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,AED,Hydroxy atrazine,R,14,1.2,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,26,"2,4-D",G,11,0.65,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,8.6,0.68,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,7.1,1.6,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,B46,Clopyralid,G,5.7,3.4,T,LT,,Q,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,5.3,3.2,T,LT,,Q,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,758,Bentazon,F,4.9,0.18,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,2.7,0.61,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603135002WRMT1,WR,AEE,Imazamethabenz acid,J,2.2,0.6,T,LT,,,H,O,811,62,,ND,6,3,13,50,2,WR,MT1
ND0603275002WRMT1,WR,26,"2,4-D",G,19,0.65,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,B46,Clopyralid,G,15,3.4,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,780,Tebuthiuron,F,0.35,0.21,T,LT,,Q,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,12,3.2,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,758,Bentazon,F,5.1,0.18,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,4.4,0.61,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,ACM,Nicosulfuron,K,2.8,1.7,T,LT,,Q,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,731,Triclopyr,G,2.7,1.6,T,LT,,Q,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,283,Metolachlor,A,2.5,1.5,T,M,,Q,H,O,812,7,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,AEE,Imazamethabenz acid,J,2.3,0.6,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,942,Prometon,R,2.1,0.17,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,ACD,Imazethapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,149,Simazine,R,1.18,0.71,T,LT,,Q,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LT,,Q,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,56,0.68,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,305,Atrazine,R,54,0.66,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,41,1.6,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,AED,Hydroxy atrazine,R,37,1.2,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,26,0.36,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0603275002WRMT1,WR,964,Desethyl atrazine,R,25,0.43,T,LT,,,H,O,811,62,,ND,6,3,27,50,2,WR,MT1
ND0604105002WRMT1,WR,B72,Tetraconazole,L,57,3.7,T,LT,,,H,O,810,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,26,"2,4-D",G,49,0.65,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,24,0.36,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,B46,Clopyralid,G,23,3.4,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,16,3.2,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,AED,Hydroxy atrazine,R,12,1.2,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,305,Atrazine,R,12,0.66,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,A58,Tebuconazole,L,10.3,6.2,T,LT,,Q,H,O,810,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,964,Desethyl atrazine,R,9.6,0.43,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,8.8,1.6,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ACM,Nicosulfuron,K,8.3,1.7,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,8.1,0.68,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,6.3,1.7,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,758,Bentazon,F,5.5,0.18,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,AEE,Imazamethabenz acid,J,4.3,0.6,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,753,Imazamethabenz methyl,J,4,0.31,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,942,Prometon,R,2.7,0.17,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,283,Metolachlor,A,2.5,1.5,T,M,,Q,H,O,812,7,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,2.1,0.61,T,LT,,,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ACD,Imazethapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604105002WRMT1,WR,ACB,Imazapyr,J,2,1,T,LT,,Q,H,O,811,62,,ND,6,4,10,50,2,WR,MT1
ND0604245002WRMT1,WR,942,Prometon,R,1.6,0.17,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,37,1.6,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,36,0.36,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,B72,Tetraconazole,L,28,3.7,T,LT,,,H,O,810,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,27,0.68,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,B46,Clopyralid,G,25,3.4,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,AED,Hydroxy atrazine,R,20,1.2,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,758,Bentazon,F,16,0.18,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,15,3.2,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,305,Atrazine,R,12,0.66,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,26,"2,4-D",G,12,0.65,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,A58,Tebuconazole,L,10.3,6.2,T,LT,,Q,H,O,810,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,964,Desethyl atrazine,R,10,0.43,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ACM,Nicosulfuron,K,9.5,1.7,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,7,1.7,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,AEE,Imazamethabenz acid,J,6.6,0.6,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ACD,Imazethapyr,J,4,1,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
ND0604245002WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,3.8,0.61,T,LT,,,H,O,811,62,,ND,6,4,24,50,2,WR,MT1
