Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,Year,Month,day,,,
NE0504114504KAUS2B,KA,910,"DDE p,p'",A,0.0015,0.0009,M,M ,,Q ,SM,O,818,7,5 AL,NE,5,4,11,4504,KA,US2B
NE0501104504KMUS2B,KM,70,Piperonyl butoxide,I,0.0075,0.0045,M,M ,,Q ,SM,O,818,7,0.1,NE,5,1,10,4504,KM,US2B
NE0702115501WGMN1,WG,AFB,Dimethenamid ethanesulfonic acid (ESA),F,37.9,2,T,LU,,,H,O,999,52,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,AED,Hydroxy atrazine,R,4.69,2,T,LU,,,H,O,999,52,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,16340,3,T,LU,,,H,O,999,52,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,ACH,Metolachlor oxanilic acid (OA),A,4360,3,T,LU,,,H,O,999,52,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,4310,12.5,T,LU,,,H,O,999,52,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,964,Desethyl atrazine,R,1550,10,T,M,,,SH,O,999,7,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,216,9,T,LU,,,H,O,999,52,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,785,Desisopropyl atrazine,R,191,50,T,M,,,SH,O,999,7,,NE,7,2,11,5501,WG,MN1
NE0702115501WGMN1,WG,305,Atrazine,R,166,10,T,M,,,SH,O,999,7,,NE,7,2,11,5501,WG,MN1
NE0702125502WGMN1,WG,964,Desethyl atrazine,R,436,10,T,M,,,SH,O,999,7,,NE,7,2,12,5502,WG,MN1
NE0702125502WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,384,12.5,T,LU,,,H,O,999,52,,NE,7,2,12,5502,WG,MN1
NE0702125502WGMN1,WG,785,Desisopropyl atrazine,R,103,50,T,M,,,SH,O,999,7,,NE,7,2,12,5502,WG,MN1
NE0702125502WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,83.5,15,T,LU,,,H,O,999,52,,NE,7,2,12,5502,WG,MN1
NE0702125502WGMN1,WG,305,Atrazine,R,80.2,10,T,M,,,SH,O,999,7,,NE,7,2,12,5502,WG,MN1
NE0702125502WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,60.3,9,T,LU,,,H,O,999,52,,NE,7,2,12,5502,WG,MN1
NE0702125502WGMN1,WG,AED,Hydroxy atrazine,R,3,2,T,LU,,Q,H,O,999,52,,NE,7,2,12,5502,WG,MN1
NE0705075501WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,9700,3,T,LU,,,H,O,999,52,,NE,7,5,7,5501,WG,MN1
NE0705075501WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,2630,12.5,T,LU,,,H,O,999,52,,NE,7,5,7,5501,WG,MN1
NE0705075501WGMN1,WG,ACH,Metolachlor oxanilic acid (OA),A,1250,3,T,LU,,,H,O,999,52,,NE,7,5,7,5501,WG,MN1
NE0705075501WGMN1,WG,964,Desethyl atrazine,R,857,10,T,M,,,SH,O,999,7,,NE,7,5,7,5501,WG,MN1
NE0705075501WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,348,9,T,LU,,,H,O,999,52,,NE,7,5,7,5501,WG,MN1
NE0705075501WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,147,15,T,LU,,,H,R,999,52,,NE,7,5,7,5501,WG,MN1
NE0705075501WGMN1,WG,305,Atrazine,R,134,10,T,M,,,SH,O,999,7,,NE,7,5,7,5501,WG,MN1
NE0705075501WGMN1,WG,785,Desisopropyl atrazine,R,83,50,T,M,,Q,SH,O,999,7,,NE,7,5,7,5501,WG,MN1
NE0705075502WGMN1,WG,305,Atrazine,R,58.6,10,T,M,,,SH,O,999,7,,NE,7,5,7,5502,WG,MN1
NE0705075502WGMN1,WG,AED,Hydroxy atrazine,R,3,2,T,LU,,Q,H,R,999,52,,NE,7,5,7,5502,WG,MN1
NE0705075502WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,1940,3,T,LU,,,H,O,999,52,,NE,7,5,7,5502,WG,MN1
NE0705075502WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,434,12.5,T,LU,,,H,O,999,52,,NE,7,5,7,5502,WG,MN1
NE0705075502WGMN1,WG,964,Desethyl atrazine,R,358,10,T,M,,,SH,O,999,7,,NE,7,5,7,5502,WG,MN1
NE0705075502WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,94.2,9,T,LU,,,H,O,999,52,,NE,7,5,7,5502,WG,MN1
NE0708065502WGMN1,WG,149,Simazine,R,50,30,T,M,,Q,SH,O,999,7,,NE,7,8,6,5502,WG,MN1
NE0708065502WGMN1,WG,AED,Hydroxy atrazine,R,3,2,T,LU,,Q,H,O,999,52,,NE,7,8,6,5502,WG,MN1
NE0708065502WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,1665,3,T,LU,,,H,O,999,52,,NE,7,8,6,5502,WG,MN1
NE0708065502WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,385,12.5,T,LU,,,H,O,999,52,,NE,7,8,6,5502,WG,MN1
NE0708065502WGMN1,WG,964,Desethyl atrazine,R,175,10,T,M,,,SH,O,999,7,,NE,7,8,6,5502,WG,MN1
NE0708065502WGMN1,WG,305,Atrazine,R,96.3,10,T,M,,,SH,O,999,7,,NE,7,8,6,5502,WG,MN1
NE0708065502WGMN1,WG,785,Desisopropyl atrazine,R,83,50,T,M,,Q,SH,O,999,7,,NE,7,8,6,5502,WG,MN1
NE0708065502WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,67.2,9,T,LU,,,H,O,999,52,,NE,7,8,6,5502,WG,MN1
NE0711045501WGMN1,WG,305,Atrazine,R,159,10,T,M,,,SH,O,999,7,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,AFB,Dimethenamid ethanesulfonic acid (ESA),F,119,2,T,LU,,,H,O,999,52,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,AED,Hydroxy atrazine,R,3,2,T,LU,,Q,H,O,999,52,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,18000,3,T,LU,,,H,O,999,52,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,1820,12.5,T,LU,,,H,O,999,52,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,ACH,Metolachlor oxanilic acid (OA),A,1040,3,T,LU,,,H,O,999,52,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,964,Desethyl atrazine,R,1040,10,T,M,,,SH,O,999,7,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,283,9,T,LU,,,H,O,999,52,,NE,7,11,4,5501,WG,MN1
NE0711045501WGMN1,WG,785,Desisopropyl atrazine,R,178,50,T,M,,,SH,O,999,7,,NE,7,11,4,5501,WG,MN1
NE0711055502WGMN1,WG,AED,Hydroxy atrazine,R,3,2,T,LU,,Q,H,O,999,52,,NE,7,11,5,5502,WG,MN1
NE0711055502WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,2450,3,T,LU,,,H,O,999,52,,NE,7,11,5,5502,WG,MN1
NE0711055502WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,428,12.5,T,LU,,,H,O,999,52,,NE,7,11,5,5502,WG,MN1
NE0711055502WGMN1,WG,964,Desethyl atrazine,R,358,10,T,M,,,SH,O,999,7,,NE,7,11,5,5502,WG,MN1
NE0711055502WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,112,9,T,LU,,,H,O,999,52,,NE,7,11,5,5502,WG,MN1
NE0711055502WGMN1,WG,785,Desisopropyl atrazine,R,83,50,T,M,,Q,SH,O,999,7,,NE,7,11,5,5502,WG,MN1
NE0711055502WGMN1,WG,305,Atrazine,R,63.6,10,T,M,,,SH,O,999,7,,NE,7,11,5,5502,WG,MN1
NE0702115501WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,158,15,T,LU,,,H,O,999,52,,NE,7,2,11,5501,WG,MN1
NE0702125502WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,9450,3,T,LU,,,H,O,999,52,,NE,7,2,12,5502,WG,MN1
NE0705075501WGMN1,WG,AFB,Dimethenamid ethanesulfonic acid (ESA),F,73.6,2,T,LU,,,H,O,999,52,,NE,7,5,7,5501,WG,MN1
NE0705075502WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,77,15,T,LU,,,H,R,999,52,,NE,7,5,7,5502,WG,MN1
NE0708065502WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,56,15,T,LU,,,H,O,999,52,,NE,7,8,6,5502,WG,MN1
NE0711045501WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,174,15,T,LU,,,H,O,999,52,,NE,7,11,4,5501,WG,MN1
NE0711055502WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,61.5,15,T,LU,,,H,O,999,52,,NE,7,11,5,5502,WG,MN1
NE0805275503WGMN1,WG,AEY,Dimethenamid oxanilic acid (OA),F,13,3,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,ACD,Imazethapyr,J,3,2,T,LU,,Q,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,4130,3,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,2550,12.5,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,ACH,Metolachlor oxanilic acid (OA),A,626,3,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,964,Desethyl atrazine,R,576,10,T,M,,,SH,O,999,7,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,227,15,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,AFB,Dimethenamid ethanesulfonic acid (ESA),F,193,2,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,305,Atrazine,R,136,10,T,M,,,SH,O,999,7,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,785,Desisopropyl atrazine,R,83,50,T,M,,Q,SH,O,999,7,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,72.3,9,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,283,Metolachlor,A,25,15,T,M,,Q,SH,O,999,7,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,329,Picloram,G,20.8,12.5,T,LU,,Q,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0805275503WGMN1,WG,AED,Hydroxy atrazine,R,17.1,2,T,LU,,,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0811035503WGMN1,WG,AED,Hydroxy atrazine,R,12.5,2,T,LU,,,H,O,999,52,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,AFB,Dimethenamid ethanesulfonic acid (ESA),F,7.37,2,T,LU,,,H,O,999,52,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,5350,3,T,LU,,,H,O,999,52,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,ACH,Metolachlor oxanilic acid (OA),A,1270,3,T,LU,,,H,O,999,52,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,222,15,T,LU,,,H,O,999,52,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,964,Desethyl atrazine,R,200,10,T,M,,,SH,O,999,7,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,283,Metolachlor,A,178,15,T,M,,,SH,O,999,7,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,94.8,12.5,T,LU,,,H,O,999,52,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,785,Desisopropyl atrazine,R,83,50,T,M,,Q,SH,O,999,7,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,780,Tebuthiuron,F,50,30,T,M,,Q,SH,O,999,7,,NE,8,11,3,5503,WG,MN1
NE0811035503WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,44.1,9,T,LU,,,H,O,999,52,,NE,8,11,3,5503,WG,MN1
NE0811035504WGMN1,WG,AED,Hydroxy atrazine,R,12.6,2,T,LU,,,H,O,999,52,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,AEY,Dimethenamid oxanilic acid (OA),F,7.37,3,T,LU,,,H,O,999,52,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,5380,3,T,LU,,,H,O,999,52,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,ACH,Metolachlor oxanilic acid (OA),A,1240,3,T,LU,,,H,O,999,52,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,244,15,T,LU,,,H,O,999,52,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,964,Desethyl atrazine,R,196,10,T,M,,,SH,O,999,7,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,283,Metolachlor,A,165,15,T,M,,,SH,O,999,7,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,96.5,12.5,T,LU,,,H,O,999,52,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,785,Desisopropyl atrazine,R,83,50,T,M,,Q,SH,O,999,7,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,780,Tebuthiuron,F,74,30,T,M,,,SH,O,999,7,,NE,8,11,3,5504,WG,MN1
NE0811035504WGMN1,WG,ABN,Acetochlor ethanesulfonic acid (ESA),A,45.3,9,T,LU,,,H,O,999,52,,NE,8,11,3,5504,WG,MN1
NE0805275503WGMN1,WG,ABQ,Alachlor oxanilic acid (OA),A,17,10,T,LU,,Q,H,O,999,52,,NE,8,5,27,5503,WG,MN1
NE0811035503WGMN1,WG,305,Atrazine,R,17,10,T,M,,Q,SH,O,999,7,,NE,8,11,3,5503,WG,MN1
NE0811035504WGMN1,WG,305,Atrazine,R,17,10,T,M,,Q,SH,O,999,7,,NE,8,11,3,5504,WG,MN1
NE0812154022BAUS2S,BA,910,"DDE p,p'",A,0.0027,0.002,M,M,,,,O,818,7,5 AL,NE,8,12,15,4022,BA,US2S
NE0812224010BAUS2H,BA,902,Endosulfan sulfate,A,0.0024,0.002,M,GN,,,,O,818,72,13,NE,8,12,22,4010,BA,US2H
NE0901064009BAUS2S,BA,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.002,0.001,M,GN,,,,O,818,72,3,NE,9,1,6,4009,BA,US2S
NE0902164011BAUS2H,BA,910,"DDE p,p'",A,0.003,0.002,M,M,,,,O,818,7,5 AL,NE,9,2,16,4011,BA,US2H
NE0903024011BAUS2H,BA,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.0031,0.001,M,GN,,,,O,818,72,3,NE,9,3,2,4011,BA,US2H
NE0903104010BAUS2H,BA,910,"DDE p,p'",A,0.0046,0.002,M,M,,,,O,818,7,5 AL,NE,9,3,10,4010,BA,US2H
NE0903234011BAUS2S,BA,539,Permethrin Total,O,0.0122,0.01,M,GN,,,,O,818,72,1.5,NE,9,3,23,4011,BA,US2S
NE0904064011BAUS2H,BA,910,"DDE p,p'",A,0.0025,0.002,M,M,,,,O,818,7,5 AL,NE,9,4,6,4011,BA,US2H
NE0904064022BAUS2S,BA,910,"DDE p,p'",A,0.0027,0.002,M,M,,,,O,818,7,5 AL,NE,9,4,6,4022,BA,US2S
NE0904134018BAUS2S,BA,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.0264,0.001,M,GN,,,,O,818,72,3,NE,9,4,13,4018,BA,US2S
NE0904204018BAUS2S,BA,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.0017,0.001,M,GN,,,,O,818,72,3,NE,9,4,20,4018,BA,US2S
NE0904284022BAUS2S,BA,910,"DDE p,p'",A,0.0025,0.002,M,M,,,,O,818,7,5 AL,NE,9,4,28,4022,BA,US2S
NE0905074010BAUS2H,BA,902,Endosulfan sulfate,A,0.0025,0.002,M,GN,,,,O,818,72,13,NE,9,5,7,4010,BA,US2H
NE0904134018BMUS2S,BM,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.0036,0.001,M,GN,,,,O,818,72,0.2,NE,9,4,13,4018,BM,US2S
NE0904065505WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,64.1,12.5,T,LU,,,,O,999,52,,NE,9,4,6,5505,WG,MN1
NE0904065505WGMN1,WG,ABQ,Alachlor oxanilic acid (OA),A,17,10,T,LU,,Q,,O,999,52,,NE,9,4,6,5505,WG,MN1
NE0904065505WGMN1,WG,AED,Hydroxy atrazine,R,6.7,2,T,LU,,,,O,999,52,,NE,9,4,6,5505,WG,MN1
NE0904065505WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,325,3,T,LU,,,,O,999,52,,NE,9,4,6,5505,WG,MN1
NE0904065505WGMN1,WG,305,Atrazine,R,164,10,T,M,,,,O,999,7,,NE,9,4,6,5505,WG,MN1
NE0904065505WGMN1,WG,964,Desethyl atrazine,R,142,10,T,M,,,,O,999,7,,NE,9,4,6,5505,WG,MN1
NE0904065505WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,114,15,T,LU,,,,O,999,52,,NE,9,4,6,5505,WG,MN1
NE0904065505WGMN1,WG,785,Desisopropyl atrazine,R,83,50,T,M,,Q,,O,999,7,,NE,9,4,6,5505,WG,MN1
NE0904065506WGMN1,WG,AED,Hydroxy atrazine,R,3,2,T,LU,,Q,,O,999,52,,NE,9,4,6,5506,WG,MN1
