Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,,,,,,,
KS0212095001WRCO1,WR,305,Atrazine,R,29,5,T,I,,,H,O,901,34,,KS,2,12,9,50,1,WR,CO1
KS0212095002WRCO1,WR,305,Atrazine,R,51,5,T,I,,,H,O,901,34,,KS,2,12,9,50,2,WR,CO1
KS0212095002WRCO1,WR,283,Metolachlor,A,8.325,5,T,I,,Q,H,O,901,34,,KS,2,12,9,50,2,WR,CO1
KS0212165001WRCO1,WR,283,Metolachlor,A,43,5,T,I,,,H,O,901,34,,KS,2,12,16,50,1,WR,CO1
KS0212165001WRCO1,WR,964,Desethyl atrazine,R,41.625,25,T,I,,Q,H,O,901,34,,KS,2,12,16,50,1,WR,CO1
KS0212175002WRCO1,WR,964,Desethyl atrazine,R,86,25,T,I,,,H,O,901,34,,KS,2,12,17,50,2,WR,CO1
KS0212175002WRCO1,WR,283,Metolachlor,A,38,5,T,I,,,H,O,901,34,,KS,2,12,17,50,2,WR,CO1
KS0211045001WRCO1,WR,283,Metolachlor,A,115.5,5,T,I,,,H,O,901,34,,KS,2,11,4,50,1,WR,CO1
KS0211045002WRCO1,WR,964,Desethyl atrazine,R,122.7,25,T,I,,,H,O,901,34,,KS,2,11,4,50,2,WR,CO1
KS0211115001WRCO1,WR,283,Metolachlor,A,155,5,T,I,,,H,O,901,34,,KS,2,11,11,50,1,WR,CO1
KS0211125002WRCO1,WR,283,Metolachlor,A,99,5,T,I,,,H,O,901,34,,KS,2,11,12,50,2,WR,CO1
KS0211185001WRCO1,WR,283,Metolachlor,A,226,5,T,I,,,H,O,901,34,,KS,2,11,18,50,1,WR,CO1
KS0211185002WRCO1,WR,964,Desethyl atrazine,R,104,25,T,I,,,H,O,901,34,,KS,2,11,18,50,2,WR,CO1
KS0212025001WRCO1,WR,964,Desethyl atrazine,R,75.5,25,T,I,,,H,O,901,34,,KS,2,12,2,50,1,WR,CO1
KS0212025002WRCO1,WR,305,Atrazine,R,260,5,T,I,,,H,O,901,34,,KS,2,12,2,50,2,WR,CO1
KS0212095001WRCO1,WR,964,Desethyl atrazine,R,41.625,25,T,I,,Q,H,O,901,34,,KS,2,12,9,50,1,WR,CO1
KS0212095002WRCO1,WR,964,Desethyl atrazine,R,94,25,T,I,,,H,O,901,34,,KS,2,12,9,50,2,WR,CO1
KS0212165001WRCO1,WR,305,Atrazine,R,52,5,T,I,,,H,O,901,34,,KS,2,12,16,50,1,WR,CO1
KS0212175002WRCO1,WR,305,Atrazine,R,121,5,T,I,,,H,O,901,34,,KS,2,12,17,50,2,WR,CO1
KS0301065001WRCO1,WR,283,Metolachlor,A,8,5,T,I,,Q,H,O,901,34,,KS,3,1,6,50,1,WR,CO1
KS0301065002WRCO1,WR,283,Metolachlor,A,30,5,T,I,,,H,O,901,34,,KS,3,1,6,50,2,WR,CO1
KS0301135001WRCO1,WR,964,Desethyl atrazine,R,42,25,T,I,,Q,H,O,901,34,,KS,3,1,13,50,1,WR,CO1
KS0301135001WRCO1,WR,283,Metolachlor,A,27,5,T,I,,,H,O,901,34,,KS,3,1,13,50,1,WR,CO1
KS0301135002WRCO1,WR,283,Metolachlor,A,104,5,T,I,,,H,O,901,34,,KS,3,1,13,50,2,WR,CO1
KS0301135002WRCO1,WR,964,Desethyl atrazine,R,93,25,T,I,,,H,O,901,34,,KS,3,1,13,50,2,WR,CO1
KS0301205001WRCO1,WR,964,Desethyl atrazine,R,42,25,T,I,,Q,H,O,901,34,,KS,3,1,20,50,1,WR,CO1
KS0301205001WRCO1,WR,305,Atrazine,R,41,5,T,I,,,H,O,901,34,,KS,3,1,20,50,1,WR,CO1
KS0301215002WRCO1,WR,964,Desethyl atrazine,R,148,25,T,I,,,H,O,901,34,,KS,3,1,21,50,2,WR,CO1
KS0301215002WRCO1,WR,283,Metolachlor,A,57,5,T,I,,,H,O,901,34,,KS,3,1,21,50,2,WR,CO1
KS0301275001WRCO1,WR,964,Desethyl atrazine,R,42,25,T,I,,Q,H,O,901,34,,KS,3,1,27,50,1,WR,CO1
KS0301275001WRCO1,WR,283,Metolachlor,A,8,5,T,I,,Q,H,O,901,34,,KS,3,1,27,50,1,WR,CO1
KS0301285002WRCO1,WR,305,Atrazine,R,273,5,T,I,,,H,O,901,34,,KS,3,1,28,50,2,WR,CO1
KS0301285002WRCO1,WR,283,Metolachlor,A,30,5,T,I,,,H,O,901,34,,KS,3,1,28,50,2,WR,CO1
KS0302045001WRCO1,WR,305,Atrazine,R,47,5,T,I,,,H,O,901,34,,KS,3,2,4,50,1,WR,CO1
KS0302045002WRCO1,WR,283,Metolachlor,A,58,5,T,I,,,H,O,901,34,,KS,3,2,4,50,2,WR,CO1
KS0302045002WRCO1,WR,305,Atrazine,R,358,5,T,I,,,H,O,901,34,,KS,3,2,4,50,2,WR,CO1
KS0302105002WRCO1,WR,964,Desethyl atrazine,R,89,25,T,I,,,HU,O,901,34,,KS,3,2,10,50,2,WR,CO1
KS0302105002WRCO1,WR,283,Metolachlor,A,32,5,T,I,,,HU,O,901,34,,KS,3,2,10,50,2,WR,CO1
KS0302175001WRCO1,WR,964,Desethyl atrazine,R,101,25,T,I,,,HU,O,901,34,,KS,3,2,17,50,1,WR,CO1
KS0302175001WRCO1,WR,283,Metolachlor,A,89,5,T,I,,,HU,O,901,34,,KS,3,2,17,50,1,WR,CO1
KS0302185002WRCO1,WR,964,Desethyl atrazine,R,147,25,T,I,,,HU,O,901,34,,KS,3,2,18,50,2,WR,CO1
KS0302185002WRCO1,WR,283,Metolachlor,A,39,5,T,I,,,HU,O,901,34,,KS,3,2,18,50,2,WR,CO1
KS0302245001WRCO1,WR,305,Atrazine,R,102,5,T,I,,,HU,O,901,34,,KS,3,2,24,50,1,WR,CO1
KS0302245001WRCO1,WR,964,Desethyl atrazine,R,42,25,T,I,,Q ,HU,O,901,34,,KS,3,2,24,50,1,WR,CO1
KS0302245002WRCO1,WR,964,Desethyl atrazine,R,96,25,T,I,,,HU,O,901,34,,KS,3,2,24,50,2,WR,CO1
KS0302245002WRCO1,WR,283,Metolachlor,A,18,5,T,I,,,HU,O,901,34,,KS,3,2,24,50,2,WR,CO1
KS0303035001WRCO1,WR,283,Metolachlor,A,175,5,T,I,,,HU,O,901,34,,KS,3,3,3,50,1,WR,CO1
KS0303035002WRCO1,WR,305,Atrazine,R,300,5,T,I,,,HU,O,901,34,,KS,3,3,3,50,2,WR,CO1
KS0303035002WRCO1,WR,964,Desethyl atrazine,R,87,25,T,I,,,HU,O,901,34,,KS,3,3,3,50,2,WR,CO1
KS0303105001WRCO1,WR,305,Atrazine,R,76,5,T,I,,,HU,O,901,34,,KS,3,3,10,50,1,WR,CO1
KS0303105001WRCO1,WR,283,Metolachlor,A,36,5,T,I,,,HU,O,901,34,,KS,3,3,10,50,1,WR,CO1
KS0303105002WRCO1,WR,964,Desethyl atrazine,R,122,25,T,I,,,HU,O,901,34,,KS,3,3,10,50,2,WR,CO1
KS0303105002WRCO1,WR,283,Metolachlor,A,8,5,T,I,,Q ,HU,O,901,34,,KS,3,3,10,50,2,WR,CO1
KS0303175001WRCO1,WR,283,Metolachlor,A,75,5,T,I,,,HU,O,901,34,,KS,3,3,17,50,1,WR,CO1
KS0303175001WRCO1,WR,324,Dichlobenil,T,11.2,6.7,T,I,,Q ,HU,O,901,34,,KS,3,3,17,50,1,WR,CO1
KS0303245001WRCO1,WR,283,Metolachlor,A,45,5,T,I,,,HU,O,901,34,,KS,3,3,24,50,1,WR,CO1
KS0303245001WRCO1,WR,324,Dichlobenil,T,11.2,6.7,T,I,,Q ,HU,O,901,34,,KS,3,3,24,50,1,WR,CO1
KS0303315001WRCO1,WR,305,Atrazine,R,78,5,T,I,,,HU,O,901,34,,KS,3,3,31,50,1,WR,CO1
KS0303315001WRCO1,WR,283,Metolachlor,A,37,5,T,I,,,HU,O,901,34,,KS,3,3,31,50,1,WR,CO1
KS0304075001WRCO1,WR,964,Desethyl atrazine,R,73,25,T,I,,,HU,O,901,34,,KS,3,4,7,50,1,WR,CO1
KS0304075001WRCO1,WR,283,Metolachlor,A,30,5,T,I,,,HU,O,901,34,,KS,3,4,7,50,1,WR,CO1
KS0304075002WRCO1,WR,964,Desethyl atrazine,R,115,25,T,I,,,HU,O,901,34,,KS,3,4,7,50,2,WR,CO1
KS0304075002WRCO1,WR,283,Metolachlor,A,25,5,T,I,,,HU,O,901,34,,KS,3,4,7,50,2,WR,CO1
KS0304145001WRCO1,WR,305,Atrazine,R,106,5,T,I,,,HU,O,901,34,,KS,3,4,14,50,1,WR,CO1
KS0304145001WRCO1,WR,283,Metolachlor,A,28,5,T,I,,,HU,O,901,34,,KS,3,4,14,50,1,WR,CO1
KS0304145002WRCO1,WR,964,Desethyl atrazine,R,144,25,T,I,,,HU,O,901,34,,KS,3,4,14,50,2,WR,CO1
KS0304145002WRCO1,WR,283,Metolachlor,A,20,5,T,I,,,HU,O,901,34,,KS,3,4,14,50,2,WR,CO1
KS0304215001WRCO1,WR,283,Metolachlor,A,23,5,T,I,,,HU,O,901,34,,KS,3,4,21,50,1,WR,CO1
KS0304215001WRCO1,WR,807,Acetochlor,A,17,10,T,I,,Q ,HU,O,901,34,,KS,3,4,21,50,1,WR,CO1
KS0304215001WRCO1,WR,964,Desethyl atrazine,R,127,25,T,I,,,HU,O,901,34,,KS,3,4,21,50,1,WR,CO1
KS0304215002WRCO1,WR,305,Atrazine,R,124,5,T,I,,,HU,O,901,34,,KS,3,4,21,50,2,WR,CO1
KS0304215002WRCO1,WR,283,Metolachlor,A,18,5,T,I,,,HU,O,901,34,,KS,3,4,21,50,2,WR,CO1
KS0304285001WRCO1,WR,283,Metolachlor,A,41,5,T,I,,,HU,O,901,34,,KS,3,4,28,50,1,WR,CO1
KS0304285001WRCO1,WR,305,Atrazine,R,611,5,T,I,,,HU,O,901,34,,KS,3,4,28,50,1,WR,CO1
KS0304285001WRCO1,WR,964,Desethyl atrazine,R,190,25,T,I,,,HU,O,901,34,,KS,3,4,28,50,1,WR,CO1
KS0305055001WRCO1,WR,807,Acetochlor,A,122,10,T,I,,,HU,O,901,34,,KS,3,5,5,50,1,WR,CO1
KS0305055001WRCO1,WR,283,Metolachlor,A,120,5,T,I,,,HU,O,901,34,,KS,3,5,5,50,1,WR,CO1
KS0305055001WRCO1,WR,305,Atrazine,R,1266,5,T,I,,,HU,O,901,34,,KS,3,5,5,50,1,WR,CO1
KS0305055002WRCO1,WR,305,Atrazine,R,52,5,T,I,,,HU,O,901,34,,KS,3,5,5,50,2,WR,CO1
KS0305055002WRCO1,WR,283,Metolachlor,A,8,5,T,I,,Q ,HU,O,901,34,,KS,3,5,5,50,2,WR,CO1
KS0305125001WRCO1,WR,305,Atrazine,R,978,5,T,I,,,HU,O,901,34,,KS,3,5,12,50,1,WR,CO1
KS0305125001WRCO1,WR,964,Desethyl atrazine,R,215,25,T,I,,,HU,O,901,34,,KS,3,5,12,50,1,WR,CO1
KS0305125001WRCO1,WR,807,Acetochlor,A,108,10,T,I,,,HU,O,901,34,,KS,3,5,12,50,1,WR,CO1
KS0305125002WRCO1,WR,305,Atrazine,R,75,5,T,I,,,HU,O,901,34,,KS,3,5,12,50,2,WR,CO1
KS0305125002WRCO1,WR,283,Metolachlor,A,20,5,T,I,,,HU,O,901,34,,KS,3,5,12,50,2,WR,CO1
KS0305195001WRCO1,WR,807,Acetochlor,A,145,10,T,I,,,HU,O,901,34,,KS,3,5,19,50,1,WR,CO1
KS0305195001WRCO1,WR,283,Metolachlor,A,93,5,T,I,,,HU,O,901,34,,KS,3,5,19,50,1,WR,CO1
KS0305195001WRCO1,WR,305,Atrazine,R,1077,5,T,I,,,HU,O,901,34,,KS,3,5,19,50,1,WR,CO1
KS0305205002WRCO1,WR,964,Desethyl atrazine,R,113,25,T,I,,,HU,O,901,34,,KS,3,5,20,50,2,WR,CO1
KS0305205002WRCO1,WR,283,Metolachlor,A,60,5,T,I,,,HU,O,901,34,,KS,3,5,20,50,2,WR,CO1
KS0305275001WRCO1,WR,305,Atrazine,R,1663,5,T,I,,,HU,O,901,34,,KS,3,5,27,50,1,WR,CO1
KS0305275001WRCO1,WR,964,Desethyl atrazine,R,856,25,T,I,,,HU,O,901,34,,KS,3,5,27,50,1,WR,CO1
KS0305275001WRCO1,WR,283,Metolachlor,A,171,5,T,I,,,HU,O,901,34,,KS,3,5,27,50,1,WR,CO1
KS0305275002WRCO1,WR,964,Desethyl atrazine,R,144,25,T,I,,,HU,O,901,34,,KS,3,5,27,50,2,WR,CO1
KS0305275002WRCO1,WR,305,Atrazine,R,104,5,T,I,,,HU,O,901,34,,KS,3,5,27,50,2,WR,CO1
KS0306025001WRCO1,WR,964,Desethyl atrazine,R,298,25,T,I,,,HU,O,901,34,,KS,3,6,2,50,1,WR,CO1
KS0306025001WRCO1,WR,283,Metolachlor,A,116,5,T,I,,,HU,O,901,34,,KS,3,6,2,50,1,WR,CO1
KS0306025001WRCO1,WR,807,Acetochlor,A,66,10,T,I,,,HU,O,901,34,,KS,3,6,2,50,1,WR,CO1
KS0306025002WRCO1,WR,305,Atrazine,R,103,5,T,I,,,HU,O,901,34,,KS,3,6,2,50,2,WR,CO1
KS0306025002WRCO1,WR,283,Metolachlor,A,20,5,T,I,,,HU,O,901,34,,KS,3,6,2,50,2,WR,CO1
KS0306095001WRCO1,WR,807,Acetochlor,A,43,10,T,I,,,H,O,901,34,,KS,3,6,9,50,1,WR,CO1
KS0306095001WRCO1,WR,305,Atrazine,R,2330,5,T,I,,,H,O,901,34,,KS,3,6,9,50,1,WR,CO1
KS0306095001WRCO1,WR,964,Desethyl atrazine,R,461,25,T,I,,,H,O,901,34,,KS,3,6,9,50,1,WR,CO1
KS0306095002WRCO1,WR,964,Desethyl atrazine,R,128,25,T,I,,,H,O,901,34,,KS,3,6,9,50,2,WR,CO1
KS0306095002WRCO1,WR,283,Metolachlor,A,29,5,T,I,,,H,O,901,34,,KS,3,6,9,50,2,WR,CO1
KS0306165001WRCO1,WR,283,Metolachlor,A,103,5,T,I,,,H,O,901,34,,KS,3,6,16,50,1,WR,CO1
KS0306165001WRCO1,WR,807,Acetochlor,A,50,10,T,I,,,H,O,901,34,,KS,3,6,16,50,1,WR,CO1
KS0306165001WRCO1,WR,305,Atrazine,R,1267,5,T,I,,,H,O,901,34,,KS,3,6,16,50,1,WR,CO1
KS0306175002WRCO1,WR,283,Metolachlor,A,149,5,T,I,,,H,O,901,34,,KS,3,6,17,50,2,WR,CO1
KS0306235001WRCO1,WR,283,Metolachlor,A,101,5,T,I,,,H,O,901,34,,KS,3,6,23,50,1,WR,CO1
KS0306235001WRCO1,WR,807,Acetochlor,A,58,10,T,I,,,H,O,901,34,,KS,3,6,23,50,1,WR,CO1
KS0306235001WRCO1,WR,305,Atrazine,R,1804,5,T,I,,,H,O,901,34,,KS,3,6,23,50,1,WR,CO1
KS0306235002WRCO1,WR,283,Metolachlor,A,50,5,T,I,,,H,O,901,34,,KS,3,6,23,50,2,WR,CO1
KS0307075001WRCO1,WR,964,Desethyl atrazine,R,928,25,T,I,,,H,O,901,34,,KS,3,7,7,50,1,WR,CO1
KS0307075001WRCO1,WR,283,Metolachlor,A,210,5,T,I,,,H,O,901,34,,KS,3,7,7,50,1,WR,CO1
KS0307075001WRCO1,WR,807,Acetochlor,A,38,10,T,I,,,H,O,901,34,,KS,3,7,7,50,1,WR,CO1
KS0307075002WRCO1,WR,964,Desethyl atrazine,R,131,25,T,I,,,H,O,901,34,,KS,3,7,7,50,2,WR,CO1
KS0307075002WRCO1,WR,283,Metolachlor,A,22,5,T,I,,,H,O,901,34,,KS,3,7,7,50,2,WR,CO1
KS0307145001WRCO1,WR,283,Metolachlor,A,95,5,T,I,,,H,O,901,34,,KS,3,7,14,50,1,WR,CO1
KS0307145001WRCO1,WR,807,Acetochlor,A,17,10,T,I,,Q ,H,O,901,34,,KS,3,7,14,50,1,WR,CO1
